pattern_id,pattern_description,Reccomended Action,Feature / Comparision Pages,Feature/Comparision Page time,Webinar,Live Event or Webinar,Lost opp,Won opp,Exec CC,Exec CC's Others, Email Sentiment,Unanswered email,High Intent Asset,High Intent Asset Time,Multi Contant Same Download,Opp Inactive,Compeititve Intent  Score,Intent Date,Opp Status,Opp Activity,Opp Activity Time,Renewal Date,New Leader,New Dept Contact,Ad Click Source
P1-NewOpp-ContentBurst,Account 3 feature page views within 3 days + webinar attendance; prior opp lost <2y.,New Logo Opp,>=3,<=3 days,<=3days,,<= 2 years,,,,,,,,,,,,,,,,,,
P2-WinAssist-ExecCC,Account high-intent content (asset/video) + email thread includes executive CC within 12 days.,Offer POC,,,,,,,<=12 days,,,,"""Demo Video"" or ""Request a Demo"" or ""Case Study"" or ""Pricing Page"" or ""Compeitive Comparision Content""",<=12 days,,,,,Open,,,,,,
P3-AtRisk-Inactivity+Competitor,Opp inactivity 14 days + competitor intent surge in last 30 days; opp open.,Provide Competitive Comparision,,,,,,,,,,,,,,>= 14 days,>=75,<= 1 month,Open,,,,,,
P4-Churn-Leader+Renewal,Renewal <4 months + new leadership  and compeitive intent surge within 45 days existing open,"Reachout, setup QBR",,,,,,,,,,,,,,,>=75,<= 1 month,Open,,,<=4 months,<= 3 months,,
P5-NewOpp-EventFollowUp,Account attended live or virtual event + visited pricing or feature pages within 7 days; create opportunity.,New Logo Opp,,,,≤7 days,,,,,,,"""Pricing Page"" or ""Feature Page""",<=7 days,,,,,Create,,,,,,
P6-Expansion-CrossDeptActivity,"New contact from different department engages with product page + prior opp closed won <12m, open new opp",New Expansion Opp,≥1,≤5 days,,,,≤12 months,,,,,"""Product Overview"" or ""Integration Guide""",,,,,,Create,,,,,TRUE,
P8-ReEngage-DormantAccount,No web activity 60+ days → sudden spike in intent (>80) and 3+ page views in 5 days; existing opp,Reengage with Buyers Guide,≥3,≤5 days,,,,,,,,,"""Feature Page""",,,≥60 days,≥80,<= 2 months,Open,,,,,,
P9-AtRisk-NegEmailTone,Opp open >45 days + sentiment-negative email detected + competitor content viewed; existing opp,Exec Stakeholder Engagement,,,,,,,,,Negative ,,,,,≥45 days,≥70,<= 2 months,Open,,,,,,
P16-WinAssist-PeerDownload,Multiple users from same account download same asset within 5 business days; open new opp,New Logo Opp,,,,,,,,,,,"""Case Study"" or ""ROI Report""",,<=5 days,,,,Open,,,,,,
P17-NewOpp-Surge,"Prospect visits  comparison page 2+ times within 14 days; no current opp, high compeittive intent; new opp",New Logo Opp,≥2,≤14 days,,,,,,,,,"""Comparison Page"" or ""Review Site""",,,,≥70,<= 2 months,None,,,,,,
P18-AtRisk-BudgetHold,Opp inactive >21 days + email mentions “budget” or “next quarter” + competitor intent >60; existing opp,Offer Discount,,,,,,,,,"""Budget"" or Next Quarter""",,,,,≥21 days,≥60,<= 2 months,Open,,,,,,
P19-Renewal-ExecSwitch,Renewal <90 days + account owner change or exec transition detected; existing opp,Exec Stakeholder Engagement,,,,,,,,,,,,,,,,,Open,,,≤3 months,≤3 months,,
P24-AtRisk-LowResponse,Opp email thread unanswered >14 days; existing opp,Recommend Contextualized Response,,,,,,,,,,>=14 days,,,,≥14 days,,,Open,,,,,,
P28-NewOpp-IntegrationInterest,Multi contacts visits integration or API documentation + product overview within 5 days; create new opp,New Logo Opp,≥2,≤5 days,,,,,,,,,"""Integration Page"" or ""API Docs""",≤5 days,TRUE,,,,None,,,,,,
P29-NewOpp-PricingThenDemo,Pricing page visit followed by demo request within 3 days; create new opp,New Logo Opp,,,,,,,,,,,"""Pricing Page"" and ""Request Demo""",≤3 days,,,,,None,,,,,,
P31-NewOpp-AnalystReportEngage,Analyst or peer comparison report downloaded + feature page viewed within 7 days; create new opp,New Logo Opp,,,,,,,,,,,"""Analyst Report"" or ""Comparison Guide""",≤7 days,,,,,None,,,,,,
P34-NewOpp-CompetitiveCompare,Visits competitor comparison page + case study within 7 days; no open opp; create new opp,New Logo Opp,,,,,,,,,,,"""Comparison Page"" or ""Case Study""",≤7 days,,,,,None,,,,,,
P35-NewOpp-SearchToSite,"Identified intent keyword surge (e.g., “best X vendors”) followed by site visit within 3 days; create new opp",New Logo Opp,≥1,≤3 days,,,,,,,,,"""Feature Page"" or ""Pricing Page""",≤3 days,,,≥80,<= 1 month,None,,,,,,
P37-NewOpp-AdRetargetConversion,Retargeting ad click → product or pricing page visit within 48 hours; create new opp,New Logo Opp,,,,,,,,,,,"Product Page or ""Pricing Page""",≤2 days,,,,,None,,,,,,TRUE
P45-NewOpp-PodcastOrWebinarReplay,"Listens to on-demand podcast or webinar replay, then engages with product content within 7 days; create new opp",New Logo Opp,≥1,≤7 days,,,,,,,,,"Podcast or ""Webinar Replay""",≤7 days,,,,,None,,,,,,
P45-AtRisk-Price+Competitor,Pricing provided with competitor intentent surge; existing opp,Recommend pricing options,,,,,,,,,,,,,,,≥70,<=1 month,Open,Quote/Pricing,<= 1 month,,,,
P45-AtRisk-Late Stage Leadership Change,POC or negotiation stage with leadership change; existing opp,Exec Stakeholder Engagement,,,,,,,,,,,,,,,,,"""POC"" or ""Negotiation"" or greater",,,,≤2 months,,
