feature,importance
is_expansion,0.21159948685094565
is_new_logo,0.11349753104375476
days_since_last_activity,0.08697780732406774
velocity_score,0.06497500572442563
activity_velocity,0.06182465985615728
unique_email_threads,0.03822921375459768
total_marketing_events_during,0.03358389479886254
outbound_email_count,0.03350861882199992
total_email_threads,0.030365791402458406
total_engagement_duration,0.02570492775058447
days_since_first_contact,0.024952026535106746
total_score_delta_during,0.024916971974242905
unique_marketing_visitors,0.02164015572877103
days_to_first_activity,0.018783299056692966
amount,0.015110643253234243
multi_threading_score,0.014289490494797831
recent_activity_count,0.012385178543292678
previous_activity_count,0.011930952931178922
avg_score_delta_during,0.011499035328713915
days_to_renewal,0.010652603612455454
velocity_change,0.00963749879994714
total_activity_count_during,0.009449307339260039
deal_size_category,0.0094329560416752
activity_per_contact,0.009157812192358361
high_value_new_logo,0.008643461852518991
decision_maker_ratio,0.008073679249397923
has_c_level,0.007471659943178641
campaign_activity_count,0.007415187729147289
decision_maker_count,0.007376384301649558
recent_intent_score,0.005849601745301327
is_marketing_qualified,0.005811639309115807
avg_historical_deal_size,0.005571098057754516
intent_momentum,0.005343556896894976
unique_intent_topics,0.004777491242475465
pricing_page_visits,0.004357028583100804
zoominfo_exec_count,0.0036756405435665446
manager_count,0.0033381927899185024
influencer_count,0.0029420568278741652
director_count,0.0023485098107897066
max_intent_score_during,0.002311180199113774
committee_diversity_score,0.0017985219874352683
avg_intent_score_during,0.0017523022453291123
vp_count,0.0016784896159329104
persona_coverage,0.0014130201085996302
previous_losses_count,0.00132304081759938
is_highly_engaged,0.0009542604574750836
previous_deal_count,0.0006614594153525625
high_surge_count_during,0.0005459704338067117
days_since_last_loss,0.00032163324186384605
case_study_views,0.00014006343522616037
contact_count_total,0.0
webinar_attended_count,0.0
medium_surge_count_during,0.0
exec_involvement_count,0.0
previous_intent_score,0.0
days_since_last_win,0.0
historical_win_rate,0.0
total_historical_revenue,0.0
previous_wins_count,0.0
was_customer_before,0.0
has_decision_maker,0.0
is_intent_qualified,0.0
